date,book,jogging,origami,yoga,bread,orchids,mindfulness,podcast,calligraphy,board games,language,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index
2020-01-11,18,12,25,36,41,49,9,35,64,19,Vietnamese,,,0,0,0.0
2020-01-11,20,2,4,75,1,2,0,0,4,2,Tamil,,,0,0,0.0
2020-01-12,34,8,20,25,58,52,7,34,65,20,Vietnamese,,,0,0,0.0
2020-01-12,220,77,150,1092,274,457,1,2740,165,788,German (DEU),,,0,0,0.0
2020-01-12,220,77,150,1092,274,457,1,2740,165,788,German (CHE),,,0,0,0.0
2020-01-12,220,77,150,1092,274,457,1,2740,165,788,German (AUT),,,0,0,0.0
2020-01-12,157,91,160,388,311,171,325,259,208,284,Japanese,,,0,0,0.0
2020-01-12,23,0,9,53,7,6,0,4,2,1,Tamil,,,0,0,0.0
2020-01-13,14,0,7,67,2,5,0,3,3,4,Tamil,,,0,0,0.0
2020-01-13,266,88,162,1044,324,412,2,2270,249,514,German (DEU),,,0,0,0.0
2020-01-13,266,88,162,1044,324,412,2,2270,249,514,German (CHE),,,0,0,0.0
2020-01-13,266,88,162,1044,324,412,2,2270,249,514,German (AUT),,,0,0,0.0
2020-01-13,40,16,24,50,58,105,9,51,60,12,Vietnamese,,,0,0,0.0
2020-01-13,0,9,3,20,29,7,1,30,11,59,Serbian,,,0,0,0.0
2020-01-13,161,77,202,402,346,171,368,411,210,201,Japanese,,,0,0,0.0
2020-01-14,285,65,153,1065,330,382,5,2254,191,436,German (AUT),,,0,0,0.0
2020-01-14,285,65,153,1065,330,382,5,2254,191,436,German (CHE),,,0,0,0.0
2020-01-14,285,65,153,1065,330,382,5,2254,191,436,German (DEU),,,0,0,0.0
2020-01-14,18,19,16,33,38,93,10,73,77,26,Vietnamese,,,0,0,0.0
2020-01-14,3,14,3,23,17,14,7,27,22,57,Serbian,,,0,0,0.0
2020-01-14,9,0,4,27,1,1,1,1,2,3,Tamil,,,0,0,0.0
2020-01-14,211,76,248,312,382,177,465,536,285,197,Japanese,,,0,0,0.0
2020-01-15,208,77,221,285,307,181,549,444,222,188,Japanese,,,0,0,0.0
2020-01-15,7,0,1,33,3,1,2,1,2,0,Tamil,,,0,0,0.0
2020-01-15,287,78,168,1059,305,361,2,2940,203,466,German (CHE),,,0,0,0.0
2020-01-15,2,13,4,20,20,18,9,63,21,47,Serbian,,,0,0,0.0
2020-01-15,287,78,168,1059,305,361,2,2940,203,466,German (AUT),,,0,0,0.0
2020-01-15,14,15,19,35,45,117,6,43,74,12,Vietnamese,,,0,0,0.0
2020-01-15,287,78,168,1059,305,361,2,2940,203,466,German (DEU),,,0,0,0.0
2020-01-16,315,73,159,1012,313,376,1,2147,194,393,German (DEU),,,0,0,0.0
2020-01-16,2,9,3,19,19,18,2,25,17,32,Serbian,,,0,0,0.0
2020-01-16,218,63,231,326,340,158,458,484,250,215,Japanese,,,0,0,0.0
2020-01-16,9,0,9,58,5,5,0,3,0,3,Tamil,,,0,0,0.0
2020-01-16,18,17,15,26,50,65,23,51,56,16,Vietnamese,,,0,0,0.0
2020-01-16,315,73,159,1012,313,376,1,2147,194,393,German (AUT),,,0,0,0.0
2020-01-16,315,73,159,1012,313,376,1,2147,194,393,German (CHE),,,0,0,0.0
2020-01-17,12,0,2,56,0,2,0,3,0,2,Tamil,,,0,0,0.0
2020-01-17,12,16,11,38,30,98,8,53,46,19,Vietnamese,,,0,0,0.0
2020-01-17,198,50,281,651,323,162,407,502,236,189,Japanese,,,0,0,0.0
2020-01-17,255,68,141,914,297,367,2,2694,155,552,German (AUT),,,0,0,0.0
2020-01-17,255,68,141,914,297,367,2,2694,155,552,German (CHE),,,0,0,0.0
2020-01-17,255,68,141,914,297,367,2,2694,155,552,German (DEU),,,0,0,0.0
2020-01-17,4,18,2,17,27,9,3,32,23,28,Serbian,,,0,0,0.0
2020-01-18,149,56,113,795,252,430,2,2363,145,689,German (AUT),,,0,0,0.0
2020-01-18,149,56,113,795,252,430,2,2363,145,689,German (CHE),,,0,0,0.0
2020-01-18,172,67,186,331,284,178,826,648,197,174,Japanese,,,0,0,0.0
2020-01-18,149,56,113,795,252,430,2,2363,145,689,German (DEU),,,0,0,0.0
2020-01-18,21,0,3,51,1,4,0,2,3,1,Tamil,,,0,0,0.0
2020-01-18,6,14,14,20,29,55,4,30,59,27,Vietnamese,,,0,0,0.0
2020-01-18,0,16,1,16,22,21,10,31,8,87,Serbian,,,0,0,0.0
2020-01-19,207,86,130,972,302,475,2,8740,187,734,German (AUT),,,0,0,0.0
2020-01-19,207,86,130,972,302,475,2,8740,187,734,German (DEU),,,0,0,0.0
2020-01-19,207,86,130,972,302,475,2,8740,187,734,German (CHE),,,0,0,0.0
2020-01-19,5,9,0,20,20,16,5,38,15,79,Serbian,,,0,0,0.0
2020-01-19,13,10,14,26,15,59,9,29,38,22,Vietnamese,,,0,0,0.0
2020-01-19,185,68,143,433,341,168,1157,663,195,175,Japanese,,,0,0,0.0
2020-01-19,15,0,16,61,2,6,3,4,2,7,Tamil,,,0,0,0.0
2020-01-20,257,76,143,993,367,376,1,2971,189,594,German (CHE),,,0,0,0.0
2020-01-20,13,5,19,21,30,83,8,43,65,26,Vietnamese,,,0,0,0.0
2020-01-20,224,65,203,374,362,188,703,550,240,188,Japanese,,,0,0,0.0
2020-01-20,24,2,10,100,0,1,0,3,1,3,Tamil,,,0,0,0.0
2020-01-20,257,76,143,993,367,376,1,2971,189,594,German (DEU),,,0,0,0.0
2020-01-20,5,21,2,9,17,16,3,26,18,42,Serbian,,,0,0,0.0
2020-01-20,257,76,143,993,367,376,1,2971,189,594,German (AUT),,,0,0,0.0
2020-01-21,15,15,20,27,28,69,14,49,57,22,Vietnamese,,,0,0,0.0
2020-01-21,32,0,6,138,3,5,0,6,1,7,Tamil,,,0,0,0.0
2020-01-21,2,18,0,13,29,28,4,32,15,28,Serbian,,,0,0,0.0
2020-01-21,262,89,174,1005,304,326,3,2815,199,393,German (CHE),,,0,0,0.0
2020-01-21,262,89,174,1005,304,326,3,2815,199,393,German (DEU),,,0,0,0.0
2020-01-21,202,70,259,363,357,169,617,550,200,191,Japanese,,,0,0,0.0
2020-01-21,262,89,174,1005,304,326,3,2815,199,393,German (AUT),,,0,0,0.0
2020-01-22,271,213,165,1027,311,322,1,3420,184,434,German (CHE),,,0,0,0.0
2020-01-22,271,213,165,1027,311,322,1,3420,184,434,German (DEU),,,0,0,0.0
2020-01-22,31,1,6,86,3,7,2,2,2,4,Tamil,,,0,0,0.0
2020-01-22,271,213,165,1027,311,322,1,3420,184,434,German (AUT),,,0,0,0.0
2020-01-22,9,10,14,23,20,69,9,50,44,31,Vietnamese,,,0,0,0.0
2020-01-22,218,66,181,350,370,125,579,480,278,151,Japanese,,,0,0,2.78
2020-01-22,5,22,2,15,27,20,9,49,26,41,Serbian,,,0,0,0.0
2020-01-23,224,63,285,292,355,182,582,505,296,206,Japanese,,,0,0,2.78
2020-01-23,7,15,7,17,26,66,10,33,32,19,Vietnamese,,,0,0,0.0
2020-01-23,2,13,1,25,20,8,1,27,37,32,Serbian,,,0,0,0.0
2020-01-23,253,90,153,964,274,404,3,3001,183,392,German (DEU),,,0,0,0.0
2020-01-23,253,90,153,964,274,404,3,3001,183,392,German (AUT),,,0,0,0.0
2020-01-23,253,90,153,964,274,404,3,3001,183,392,German (CHE),,,0,0,0.0
2020-01-23,22,1,6,108,1,1,0,0,2,3,Tamil,,,0,0,0.0
2020-01-24,16,2,14,72,2,5,0,2,0,2,Tamil,,,0,0,0.0
2020-01-24,5,5,8,9,13,74,18,31,59,19,Vietnamese,,,0,0,0.0
2020-01-24,3,13,1,29,20,11,6,24,35,47,Serbian,,,0,0,0.0
2020-01-24,165,47,293,310,372,183,535,376,226,181,Japanese,,,0,0,2.78
2020-01-24,213,54,144,798,246,354,2,2517,153,530,German (AUT),,,0,0,0.0
2020-01-24,213,54,144,798,246,354,2,2517,153,530,German (CHE),,,0,0,0.0
2020-01-24,213,54,144,798,246,354,2,2517,153,530,German (DEU),,,0,0,0.0
2020-01-25,191,88,115,774,252,412,3,2280,133,611,German (CHE),,,0,0,0.0
2020-01-25,13,13,6,15,9,52,5,37,36,27,Vietnamese,,,0,0,2.78
2020-01-25,144,71,170,336,273,183,422,418,580,198,Japanese,,,0,0,2.78
2020-01-25,191,88,115,774,252,412,3,2280,133,611,German (AUT),,,0,0,0.0
2020-01-25,13,0,4,91,2,2,0,0,2,3,Tamil,,,0,0,0.0
2020-01-25,2,16,1,16,22,23,1,25,18,67,Serbian,,,0,0,0.0
2020-01-25,191,88,115,774,252,412,3,2280,133,611,German (DEU),,,0,0,0.0
2020-01-26,181,82,168,353,329,167,708,507,231,181,Japanese,,,0,0,2.78
2020-01-26,184,71,223,855,290,393,2,2680,200,586,German (CHE),,,0,0,0.0
2020-01-26,184,71,223,855,290,393,2,2680,200,586,German (AUT),,,0,0,5.56
2020-01-26,20,2,6,67,4,3,0,4,1,5,Tamil,,,1,1,0.0
2020-01-26,184,71,223,855,290,393,2,2680,200,586,German (DEU),,,0,0,0.0
2020-01-26,7,3,7,29,9,50,13,33,34,26,Vietnamese,,,0,0,2.78
2020-01-26,5,15,1,16,16,19,9,20,19,54,Serbian,,,0,0,0.0
2020-01-27,10,8,11,24,11,38,19,32,29,22,Vietnamese,,,0,0,2.78
2020-01-27,244,59,156,945,313,375,1,2353,200,460,German (DEU),,,0,0,5.56
2020-01-27,21,0,2,83,1,6,0,3,1,5,Tamil,,,1,1,0.0
2020-01-27,244,59,156,945,313,375,1,2353,200,460,German (CHE),,,0,0,0.0
2020-01-27,244,59,156,945,313,375,1,2353,200,460,German (AUT),,,0,0,5.56
2020-01-27,220,49,289,341,333,154,607,450,278,188,Japanese,,,0,0,2.78
2020-01-27,3,26,2,17,21,23,4,27,13,43,Serbian,,,0,0,0.0
2020-01-28,201,56,192,336,414,185,528,466,287,172,Japanese,,,0,0,2.78
2020-01-28,16,0,3,77,2,7,0,8,1,5,Tamil,,,1,1,0.0
2020-01-28,273,64,177,944,327,374,3,2612,182,443,German (AUT),,,0,0,5.56
2020-01-28,1,13,2,20,28,28,1,32,13,33,Serbian,,,0,0,0.0
2020-01-28,273,64,177,944,327,374,3,2612,182,443,German (CHE),,,0,0,0.0
2020-01-28,273,64,177,944,327,374,3,2612,182,443,German (DEU),,,0,0,5.56
2020-01-28,20,12,14,16,17,54,8,32,39,31,Vietnamese,,,0,0,2.78
2020-01-29,5,17,15,34,18,71,11,32,49,21,Vietnamese,,,0,0,23.15
2020-01-29,232,61,158,1030,318,384,1,2330,181,411,German (AUT),,,0,0,5.56
2020-01-29,249,56,165,301,325,175,552,435,207,215,Japanese,,,0,0,2.78
2020-01-29,232,61,158,1030,318,384,1,2330,181,411,German (DEU),,,0,0,5.56
2020-01-29,232,61,158,1030,318,384,1,2330,181,411,German (CHE),,,0,0,0.0
2020-01-29,3,13,2,23,39,32,4,19,14,33,Serbian,,,0,0,0.0
2020-01-29,20,3,8,64,0,4,1,2,4,3,Tamil,,,1,1,0.0
2020-01-30,10,12,20,24,29,54,8,95,42,27,Vietnamese,,,0,0,25.93
2020-01-30,4,16,2,24,21,12,1,40,114,21,Serbian,,,0,0,0.0
2020-01-30,23,3,9,57,3,4,0,3,0,3,Tamil,,,1,1,10.19
2020-01-30,212,47,208,339,401,168,585,347,313,194,Japanese,,,0,0,2.78
2020-01-30,246,62,147,946,322,473,2,2605,160,395,German (DEU),,,0,0,5.56
2020-01-30,246,62,147,946,322,473,2,2605,160,395,German (CHE),,,0,0,0.0
