date,language,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,hobby,pageviews
2020-01-18,German (DEU),,,0,0,0.0,book,149
2020-01-18,Tamil,,,0,0,0.0,book,21
2020-01-18,Vietnamese,,,0,0,0.0,book,6
2020-01-18,Serbian,,,0,0,0.0,book,0
2020-01-19,German (AUT),,,0,0,0.0,book,207
2020-01-19,German (DEU),,,0,0,0.0,book,207
2020-01-19,German (CHE),,,0,0,0.0,book,207
2020-01-19,Serbian,,,0,0,0.0,book,5
2020-01-19,Vietnamese,,,0,0,0.0,book,13
2020-01-19,Japanese,,,0,0,0.0,book,185
2020-01-19,Tamil,,,0,0,0.0,book,15
2020-01-20,German (CHE),,,0,0,0.0,book,257
2020-01-20,Vietnamese,,,0,0,0.0,book,13
2020-01-20,Japanese,,,0,0,0.0,book,224
2020-01-20,Tamil,,,0,0,0.0,book,24
2020-01-20,German (DEU),,,0,0,0.0,book,257
2020-01-20,Serbian,,,0,0,0.0,book,5
2020-01-20,German (AUT),,,0,0,0.0,book,257
2020-01-21,Vietnamese,,,0,0,0.0,book,15
2020-01-21,Tamil,,,0,0,0.0,book,32
2020-01-21,Serbian,,,0,0,0.0,book,2
2020-01-21,German (CHE),,,0,0,0.0,book,262
2020-01-21,German (DEU),,,0,0,0.0,book,262
2020-01-21,Japanese,,,0,0,0.0,book,202
2020-01-21,German (AUT),,,0,0,0.0,book,262
2020-01-22,German (CHE),,,0,0,0.0,book,271
2020-01-22,German (DEU),,,0,0,0.0,book,271
2020-01-22,Tamil,,,0,0,0.0,book,31
2020-01-22,German (AUT),,,0,0,0.0,book,271
2020-01-22,Vietnamese,,,0,0,0.0,book,9
2020-01-22,Japanese,,,0,0,2.78,book,218
2020-01-22,Serbian,,,0,0,0.0,book,5
2020-01-23,Japanese,,,0,0,2.78,book,224
2020-01-23,Vietnamese,,,0,0,0.0,book,7
2020-01-23,Serbian,,,0,0,0.0,book,2
2020-01-23,German (DEU),,,0,0,0.0,book,253
2020-01-23,German (AUT),,,0,0,0.0,book,253
2020-01-23,German (CHE),,,0,0,0.0,book,253
2020-01-23,Tamil,,,0,0,0.0,book,22
2020-01-24,Tamil,,,0,0,0.0,book,16
2020-01-24,Vietnamese,,,0,0,0.0,book,5
2020-01-24,Serbian,,,0,0,0.0,book,3
2020-01-24,Japanese,,,0,0,2.78,book,165
2020-01-24,German (AUT),,,0,0,0.0,book,213
2020-01-24,German (CHE),,,0,0,0.0,book,213
2020-01-24,German (DEU),,,0,0,0.0,book,213
2020-01-25,German (CHE),,,0,0,0.0,book,191
2020-01-25,Vietnamese,,,0,0,2.78,book,13
2020-01-25,Japanese,,,0,0,2.78,book,144
2020-01-25,German (AUT),,,0,0,0.0,book,191
2020-01-25,Tamil,,,0,0,0.0,book,13
2020-01-25,Serbian,,,0,0,0.0,book,2
2020-01-25,German (DEU),,,0,0,0.0,book,191
2020-01-26,Japanese,,,0,0,2.78,book,181
2020-01-26,German (CHE),,,0,0,0.0,book,184
2020-01-26,German (AUT),,,0,0,5.56,book,184
