,country,date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,language
53,AUT,2020-01-08,,,0,0,0.0,German
54,CHE,2020-01-08,,,0,0,0.0,German
55,JPN,2020-01-08,,,0,0,0.0,Japanese
56,CHE,2020-01-09,,,0,0,0.0,German
57,SRB,2020-01-09,,,0,0,0.0,Serbian
58,AUT,2020-01-09,,,0,0,0.0,German
59,JPN,2020-01-09,,,0,0,0.0,Japanese
60,DEU,2020-01-09,,,0,0,0.0,German
61,VNM,2020-01-09,,,0,0,0.0,Vietnamese
62,IND,2020-01-09,,,0,0,0.0,Tamil
63,JPN,2020-01-10,,,0,0,0.0,Japanese
64,DEU,2020-01-10,,,0,0,0.0,German
65,SRB,2020-01-10,,,0,0,0.0,Serbian
66,AUT,2020-01-10,,,0,0,0.0,German
