date,language,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,hobby,pageviews
2020-03-17,German,-0.1910340398148148,0.2665477694444444,1.0,1.0,48.61333333333334,book,246.0
2020-03-18,German,-0.2105989027777778,0.2730625259259259,1.0,1.0,53.85666666666666,book,260.0
2020-03-19,German,-0.27199267962962964,0.2913465027777778,1.0,1.0,57.56,book,238.0
2020-03-20,German,-0.3203030111111111,0.2968894138888889,1.0,1.0,59.413333333333334,book,325.0
2020-03-21,German,-0.4493245768518519,0.40730931388888886,2.0,1.0,62.81,book,249.0
2020-03-22,German,-0.49264821296296296,0.5383762972222222,2.0,1.0,65.74,book,237.0
2020-03-23,German,-0.3321357407407407,0.33501473888888883,2.0,1.0,67.59333333333333,book,269.0
2020-03-24,German,-0.3259329166666667,0.3418281212962963,2.0,1.0,73.76666666666667,book,365.0
2020-03-25,German,-0.3461202972222222,0.3471156092592593,2.0,1.0,73.76666666666667,book,318.0
2020-03-26,German,-0.35016818518518517,0.3409586111111111,2.0,1.0,73.76666666666667,book,305.0
2020-03-27,German,-0.3426691972222222,0.31236506111111106,2.0,1.0,73.76666666666667,book,310.0
2020-03-28,German,-0.37235902314814817,0.35074888333333326,2.0,1.0,73.76666666666667,book,236.0
2020-03-29,German,-0.5041055490740741,0.545396012962963,2.0,1.0,73.76666666666667,book,256.0
2020-03-30,German,-0.3522745888888889,0.3473913796296297,2.0,1.0,73.76666666666667,book,373.0
2020-03-31,German,-0.29282748425925925,0.3202162879629629,2.0,1.0,73.76666666666667,book,339.0
2020-04-01,German,-0.2969234055555555,0.30759129351851855,2.0,1.0,73.76666666666667,book,290.0
2020-04-02,German,-0.3057227777777778,0.305341462037037,2.0,1.0,74.38333333333334,book,327.0
2020-04-03,German,-0.3327552222222222,0.3029322851851852,2.0,1.0,74.38333333333334,book,276.0
2020-04-04,German,-0.3672542925925925,0.3440788527777778,2.0,1.0,74.38333333333334,book,225.0
2020-04-05,German,-0.3219752842592593,0.4350924074074074,2.0,1.0,74.38333333333334,book,185.0
2020-04-06,German,-0.24052192129629632,0.28134568055555553,2.0,1.0,74.38333333333334,book,243.0
2020-04-07,German,-0.22817503055555552,0.2818028324074074,2.0,1.0,74.38333333333334,book,241.0
2020-04-08,German,-0.23459199907407405,0.2743833907407407,2.0,1.0,74.38333333333334,book,177.0
2020-04-09,German,-0.2295124472222222,0.2654945796296296,2.0,1.0,74.38333333333334,book,220.0
2020-04-10,German,-0.4454188074074074,0.3690321333333333,2.0,1.0,74.38333333333334,book,217.0
2020-04-11,German,-0.32148950833333334,0.3090397657407407,2.0,1.0,74.38333333333334,book,184.0
2020-04-12,German,-0.3067656398148148,0.4138715898148148,2.0,1.0,74.38333333333334,book,198.0
2020-04-13,German,-0.5179432814814815,0.44771018425925924,2.0,1.0,74.38333333333334,book,233.0
2020-04-14,German,-0.23707183888888883,0.28442298148148143,2.0,1.0,74.38333333333334,book,285.0
2020-04-15,German,-0.21540026388888886,0.27152487592592595,2.0,1.0,73.14666666666666,book,290.0
2020-04-16,German,-0.2138275981481481,0.2605012509259259,2.0,1.0,73.14666666666666,book,272.0
2020-04-17,German,-0.22622461944444439,0.25147306574074074,2.0,1.0,73.14666666666666,book,233.0
2020-04-18,German,-0.2657697861111111,0.2965033166666667,2.0,1.0,73.14666666666666,book,216.0
2020-04-19,German,-0.29184292407407403,0.425098612962963,2.0,1.0,73.14666666666666,book,216.0
2020-04-20,German,-0.19114705833333334,0.262878,2.0,1.0,73.14666666666666,book,319.0
2020-04-21,German,-0.17306685555555554,0.26037213425925926,2.0,1.0,73.14666666666666,book,360.0
2020-04-22,German,-0.16927958981481475,0.24626119074074068,2.0,1.0,73.14666666666666,book,367.0
2020-04-23,German,-0.17335742314814814,0.23982997499999995,2.0,1.0,73.14666666666666,book,383.0
2020-04-24,German,-0.20624629166666666,0.24077914999999997,2.0,1.0,73.14666666666666,book,349.0
2020-04-25,German,-0.26051773333333333,0.29263742685185185,2.0,1.0,73.14666666666666,book,237.0
2020-04-26,German,-0.23315226296296296,0.4011868787037037,2.0,1.0,73.14666666666666,book,266.0
2020-04-27,German,-0.13799428148148146,0.23846680277777774,2.0,1.0,71.91,book,346.0
2020-04-28,German,-0.15864700277777777,0.2536366324074074,2.0,1.0,71.91,book,345.0
2020-04-29,German,-0.18594897314814815,0.26030318148148146,2.0,1.0,71.91,book,327.0
2020-04-30,German,-0.1477558833333333,0.23411592777777776,2.0,1.0,71.91,book,298.0
2020-05-01,German,-0.4440085768518518,0.36873376018518517,1.0,1.0,71.91,book,278.0
2020-05-02,German,-0.2523832148148148,0.2816445851851852,1.0,1.0,71.91,book,227.0
2020-05-03,German,-0.2202622111111111,0.39557653703703705,1.0,1.0,71.44666666666666,book,302.0
2020-05-04,German,-0.09000385185185183,0.21828798148148146,1.0,1.0,70.21333333333332,book,335.0
2020-05-05,German,-0.13075232962962965,0.24067172407407403,1.0,1.0,70.21333333333332,book,297.0
2020-05-06,German,-0.09961800370370366,0.21889365833333332,0.0,1.0,68.36,book,287.0
2020-05-07,German,-0.07978451296296293,0.20331541574074075,0.0,1.0,67.74333333333333,book,277.0
2020-05-08,German,-0.10271242777777777,0.1998249277777778,0.0,1.0,67.74333333333333,book,202.0
2020-05-09,German,-0.11670816944444444,0.23556020277777776,0.0,1.0,67.74333333333333,book,210.0
2020-05-10,German,-0.12796095925925924,0.33892834629629626,0.0,1.0,67.74333333333333,book,226.0
2020-05-11,German,-0.09566740833333333,0.22477567314814814,0.0,1.0,64.04,book,305.0
2020-05-12,German,-0.08183589629629627,0.2188262648148148,0.0,1.0,64.04,book,274.0
2020-05-13,German,-0.09676352314814814,0.22109533981481477,0.0,1.0,64.04,book,319.0
2020-05-14,German,-0.10067545648148146,0.21156866111111108,0.0,1.0,64.04,book,295.0
2020-05-15,German,-0.12202399537037038,0.20926041666666664,0.0,1.0,62.806666666666665,book,359.0
2020-05-16,German,-0.11797644166666667,0.23453401759259254,0.0,1.0,61.416666666666664,book,240.0
2020-05-17,German,-0.0350756055555555,0.3245003953703704,0.0,1.0,61.416666666666664,book,274.0
2020-05-18,German,0.028423389814814803,0.18249148425925923,0.0,1.0,62.343333333333334,book,292.0
2020-05-19,German,0.011820121296296268,0.18499249259259257,0.0,1.0,61.72666666666667,book,253.0
2020-05-20,German,0.050409035185185164,0.17276956666666665,0.0,1.0,61.72666666666667,book,201.0
