Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
4/3/2019,16,28,12,28,62,80,101,33,7,50,Vietnamese
4/4/2019,27,36,18,15,76,88,105,24,8,75,Vietnamese
4/5/2019,16,16,26,17,70,62,117,17,12,62,Vietnamese
4/6/2019,11,10,33,20,68,58,71,22,12,50,Vietnamese
4/7/2019,25,21,17,15,61,51,82,23,9,43,Vietnamese
4/8/2019,24,16,16,10,55,49,113,13,15,39,Vietnamese
4/9/2019,22,30,27,13,83,65,119,14,8,57,Vietnamese
4/10/2019,28,23,29,15,52,85,111,21,14,62,Vietnamese
4/11/2019,26,21,27,16,67,63,108,16,14,63,Vietnamese
4/12/2019,14,22,24,19,53,54,113,32,13,50,Vietnamese
4/13/2019,15,20,27,13,65,47,117,27,13,37,Vietnamese
4/14/2019,15,22,19,15,51,33,84,29,9,56,Vietnamese
4/15/2019,24,18,21,14,55,56,114,25,18,40,Vietnamese
4/16/2019,21,34,20,12,49,65,135,20,15,60,Vietnamese
4/17/2019,36,40,18,15,60,65,130,25,10,42,Vietnamese
4/18/2019,35,26,19,12,66,54,147,18,16,62,Vietnamese
4/19/2019,24,19,15,23,67,70,127,18,12,40,Vietnamese
4/20/2019,22,32,23,25,52,49,73,19,10,46,Vietnamese
4/21/2019,39,23,30,14,62,60,69,21,23,48,Vietnamese
4/22/2019,18,18,14,24,76,41,96,29,8,35,Vietnamese
4/23/2019,22,24,22,21,58,77,126,15,13,58,Vietnamese
4/24/2019,18,30,16,16,63,56,111,18,11,47,Vietnamese
4/25/2019,23,24,35,10,58,43,93,11,7,52,Vietnamese
4/26/2019,29,21,20,20,62,37,102,9,10,35,Vietnamese
4/27/2019,20,17,21,12,47,25,76,16,11,37,Vietnamese
4/28/2019,17,22,20,17,52,23,90,19,4,38,Vietnamese
4/29/2019,13,11,13,15,43,36,82,20,15,49,Vietnamese
4/30/2019,26,17,13,6,61,39,91,25,15,49,Vietnamese
5/1/2019,34,15,21,19,54,68,102,18,16,54,Vietnamese
5/2/2019,29,19,19,15,49,39,106,20,13,55,Vietnamese
5/3/2019,24,32,21,18,55,51,104,26,9,54,Vietnamese
5/4/2019,23,22,17,13,63,47,90,29,8,49,Vietnamese
5/5/2019,40,24,20,17,59,37,122,24,7,53,Vietnamese
5/6/2019,21,21,8,12,70,48,114,15,8,52,Vietnamese
5/7/2019,23,22,18,20,64,57,120,15,6,52,Vietnamese
5/8/2019,28,12,36,17,80,63,123,17,11,66,Vietnamese
5/9/2019,25,14,22,18,66,59,103,24,3,58,Vietnamese
5/10/2019,22,24,25,15,56,53,98,25,8,58,Vietnamese
5/11/2019,15,15,25,20,61,53,89,19,23,45,Vietnamese
5/12/2019,51,10,22,22,55,53,102,19,9,61,Vietnamese
5/13/2019,18,18,17,26,54,69,109,14,15,62,Vietnamese
5/14/2019,16,19,20,34,67,65,121,28,10,44,Vietnamese
5/15/2019,13,23,20,23,54,44,120,17,4,77,Vietnamese
5/16/2019,21,19,31,21,83,56,96,24,13,45,Vietnamese
5/17/2019,5,14,31,24,57,50,96,22,14,51,Vietnamese
