Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
2019-04-09,154,73,144,166,262,272,224,166,498,338,Japanese
2019-04-10,174,73,235,210,279,328,249,177,491,327,Japanese
2019-04-11,141,75,191,143,267,432,244,176,473,300,Japanese
2019-04-12,159,75,169,152,259,446,197,163,415,293,Japanese
2019-04-13,130,92,177,138,253,343,174,149,331,337,Japanese
2019-04-14,165,101,217,166,275,394,250,154,467,384,Japanese
2019-04-15,160,104,146,148,291,272,233,188,464,336,Japanese
2019-04-16,162,98,181,208,313,357,250,191,496,357,Japanese
2019-04-17,164,74,216,166,282,375,252,174,442,412,Japanese
2019-04-18,180,84,185,212,289,383,247,163,614,342,Japanese
2019-04-19,161,54,161,147,244,358,230,138,568,305,Japanese
2019-04-20,119,81,168,156,230,365,244,158,589,259,Japanese
2019-04-21,219,75,222,183,262,330,303,141,457,282,Japanese
2019-04-22,166,92,147,176,300,308,274,192,643,313,Japanese
2019-04-23,173,85,222,205,238,324,245,168,481,334,Japanese
2019-04-24,202,76,212,205,234,344,266,141,474,343,Japanese
2019-04-25,239,63,192,169,261,351,269,157,567,338,Japanese
2019-04-26,139,56,201,204,265,318,226,139,415,316,Japanese
2019-04-27,138,67,165,154,213,313,228,144,334,240,Japanese
2019-04-28,146,72,184,140,240,284,259,115,293,259,Japanese
2019-04-29,132,84,176,194,220,292,273,154,351,316,Japanese
2019-04-30,116,74,213,168,294,292,351,154,366,308,Japanese
2019-05-01,131,109,218,143,252,555,388,171,376,330,Japanese
2019-05-02,123,87,166,170,220,258,311,179,336,346,Japanese
2019-05-03,130,92,167,137,274,268,297,123,933,316,Japanese
2019-05-04,139,78,173,162,246,325,328,142,490,313,Japanese
2019-05-05,133,84,189,169,318,524,307,217,430,358,Japanese
2019-05-06,193,81,179,195,306,479,290,248,543,398,Japanese
2019-05-07,187,97,144,200,308,392,308,175,1056,335,Japanese
2019-05-08,167,92,180,187,270,363,236,215,688,300,Japanese
2019-05-09,162,88,195,184,297,359,279,201,744,328,Japanese
2019-05-10,150,74,153,143,309,329,257,184,470,377,Japanese
2019-05-11,139,81,201,171,255,317,255,213,380,335,Japanese
2019-05-12,171,146,219,183,333,349,318,203,465,304,Japanese
2019-05-13,245,108,245,165,307,348,280,205,490,396,Japanese
2019-05-14,221,76,210,186,310,332,287,217,563,362,Japanese
2019-05-15,206,77,248,145,286,339,246,357,485,364,Japanese
2019-05-16,208,88,216,173,330,441,282,199,501,376,Japanese
2019-05-17,156,75,221,165,261,354,245,166,436,333,Japanese
2019-05-18,157,88,175,126,306,363,262,141,361,305,Japanese
2019-05-19,200,75,194,176,339,341,290,171,472,288,Japanese
2019-05-20,166,64,225,204,344,396,242,217,540,335,Japanese
2019-05-21,178,92,186,239,367,585,276,195,758,367,Japanese
2019-05-22,199,96,249,169,400,402,223,176,678,275,Japanese
2019-05-23,196,74,182,166,309,428,230,185,538,300,Japanese
2019-05-24,156,84,189,219,284,345,206,158,443,316,Japanese
2019-05-25,123,60,154,142,267,299,177,140,385,292,Japanese
2019-05-26,128,91,165,165,289,1507,193,142,439,266,Japanese
2019-05-27,177,73,210,203,339,417,215,172,487,312,Japanese
2019-05-28,168,60,213,177,315,379,313,196,452,333,Japanese
2019-05-29,175,79,237,175,291,384,240,213,508,335,Japanese
2019-05-30,180,55,225,190,308,412,230,182,493,348,Japanese
2019-05-31,154,66,176,185,280,368,210,186,417,322,Japanese
2019-06-01,101,70,126,153,284,494,207,162,315,406,Japanese
2019-06-02,155,86,191,159,284,1910,210,210,369,946,Japanese
2019-06-03,172,69,187,153,271,480,210,189,496,1233,Japanese
2019-06-04,173,69,187,173,315,594,198,210,535,1480,Japanese
2019-06-05,186,81,206,200,318,389,238,195,442,586,Japanese
2019-06-06,176,65,244,190,315,393,209,226,482,430,Japanese
2019-06-07,145,74,233,199,310,331,195,222,488,456,Japanese
2019-06-08,126,72,191,160,263,318,191,224,404,388,Japanese
2019-06-09,135,62,225,200,323,389,205,156,422,376,Japanese
2019-06-10,223,52,239,202,361,367,220,249,501,419,Japanese
2019-06-11,252,69,184,188,367,359,198,231,530,376,Japanese
2019-06-12,200,75,253,199,323,490,178,211,451,399,Japanese
2019-06-13,163,53,232,190,313,444,191,215,407,361,Japanese
2019-06-14,164,57,288,142,313,382,192,203,372,326,Japanese
2019-06-15,132,67,167,170,361,378,177,160,332,383,Japanese
2019-06-16,142,85,164,173,327,340,235,204,374,378,Japanese
2019-06-17,196,96,218,245,346,337,251,192,432,300,Japanese
2019-06-18,204,74,227,138,316,359,243,205,495,311,Japanese
2019-06-19,178,61,229,188,296,432,190,182,584,313,Japanese
2019-06-20,191,49,208,165,371,333,191,202,533,292,Japanese
2019-06-21,187,78,231,152,480,351,193,171,473,265,Japanese
2019-06-22,113,69,175,146,481,318,220,135,371,269,Japanese
2019-06-23,132,70,166,214,382,307,191,195,399,291,Japanese
2019-06-24,161,62,229,192,339,379,240,185,516,361,Japanese
2019-06-25,177,52,179,188,293,341,189,218,549,330,Japanese
2019-06-26,179,53,274,211,314,372,202,228,471,318,Japanese
2019-06-27,173,63,253,217,307,414,182,209,531,267,Japanese
2019-06-28,144,43,196,188,314,356,178,178,407,269,Japanese
2019-06-29,131,58,224,229,298,391,157,152,384,277,Japanese
2019-06-30,168,47,293,181,381,375,173,150,476,331,Japanese
2019-07-01,172,55,245,171,266,522,188,207,593,329,Japanese
2020-01-01,90,50,133,164,233,177,123,201,209,183,Japanese
2020-01-02,125,62,173,181,291,195,130,195,251,235,Japanese
2020-01-03,112,98,149,203,319,213,132,158,293,255,Japanese
2020-01-04,116,107,179,191,371,334,146,220,327,226,Japanese
2020-01-05,151,100,159,208,372,374,171,213,366,315,Japanese
2020-01-06,196,60,203,206,381,286,173,251,514,301,Japanese
2020-01-07,235,91,189,227,358,292,152,237,502,325,Japanese
2020-01-08,203,58,233,217,379,300,153,232,441,276,Japanese
2020-01-09,254,61,380,207,336,305,168,245,452,348,Japanese
2020-01-10,203,76,174,401,289,328,122,220,361,267,Japanese
2020-01-11,143,92,183,223,267,287,139,166,353,321,Japanese
2020-01-12,157,91,160,284,388,311,171,208,325,259,Japanese
2020-01-13,161,77,202,201,402,346,171,210,368,411,Japanese
2020-01-14,211,76,248,197,312,382,177,285,465,536,Japanese
2020-01-15,208,77,221,188,285,307,181,222,549,444,Japanese
2020-01-16,218,63,231,215,326,340,158,250,458,484,Japanese
2020-01-17,198,50,281,189,651,323,162,236,407,502,Japanese
2020-01-18,172,67,186,174,331,284,178,197,826,648,Japanese
2020-01-19,185,68,143,175,433,341,168,195,1157,663,Japanese
2020-01-20,224,65,203,188,374,362,188,240,703,550,Japanese
2020-01-21,202,70,259,191,363,357,169,200,617,550,Japanese
2020-01-22,218,66,181,151,350,370,125,278,579,480,Japanese
2020-01-23,224,63,285,206,292,355,182,296,582,505,Japanese
2020-01-24,165,47,293,181,310,372,183,226,535,376,Japanese
2020-01-25,144,71,170,198,336,273,183,580,422,418,Japanese
2020-01-26,181,82,168,181,353,329,167,231,708,507,Japanese
2020-01-27,220,49,289,188,341,333,154,278,607,450,Japanese
2020-01-28,201,56,192,172,336,414,185,287,528,466,Japanese
2020-01-29,249,56,165,215,301,325,175,207,552,435,Japanese
2020-01-30,212,47,208,194,339,401,168,313,585,347,Japanese
2020-01-31,215,47,197,186,285,389,216,195,434,383,Japanese
2020-02-01,149,50,200,147,293,360,151,156,353,412,Japanese
2020-02-02,179,83,180,188,302,341,169,197,480,447,Japanese
2020-02-03,291,58,225,185,316,341,189,252,474,441,Japanese
