Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
6/4/2019,11,0,3,6,8,2,3,4,0,11,Macedonian
7/4/2019,6,1,3,12,9,10,3,2,0,6,Macedonian
8/4/2019,3,0,0,7,10,6,4,4,0,6,Macedonian
9/4/2019,10,0,1,6,9,6,18,2,0,11,Macedonian
10/4/2019,5,0,0,4,9,2,7,0,0,4,Macedonian
11/4/2019,13,0,3,7,6,1,8,3,0,7,Macedonian
12/4/2019,6,0,1,8,7,2,5,1,0,3,Macedonian
13/04/2019,8,0,0,9,5,1,3,2,0,6,Macedonian
14/04/2019,10,1,1,8,7,2,10,2,0,8,Macedonian
15/04/2019,10,0,1,7,6,5,11,4,0,9,Macedonian
16/04/2019,13,0,6,6,4,4,8,2,0,5,Macedonian
17/04/2019,18,0,0,7,5,10,2,4,0,8,Macedonian
18/04/2019,47,1,2,4,0,23,10,7,0,3,Macedonian
19/04/2019,17,0,6,2,1,2,8,2,0,2,Macedonian
20/04/2019,7,1,0,4,3,2,6,1,0,10,Macedonian
21/04/2019,23,0,1,6,4,4,8,3,0,2,Macedonian
22/04/2019,116,1,3,3,5,5,13,2,0,5,Macedonian
23/04/2019,33,1,1,6,5,6,10,4,0,25,Macedonian
24/04/2019,19,1,6,5,6,7,3,1,0,5,Macedonian
25/04/2019,8,0,2,16,2,5,5,3,0,13,Macedonian
26/04/2019,7,0,0,15,4,8,9,2,0,4,Macedonian
27/04/2019,5,0,0,13,2,3,5,2,0,1,Macedonian
28/04/2019,7,0,0,20,4,3,2,4,0,2,Macedonian
29/04/2019,14,0,1,7,7,1,3,2,0,1,Macedonian
30/04/2019,9,0,0,7,6,9,6,0,0,3,Macedonian
1/5/2019,14,0,0,9,2,7,2,0,0,7,Macedonian
2/5/2019,12,1,1,9,1,7,5,3,0,4,Macedonian
3/5/2019,13,1,1,9,3,4,9,2,0,4,Macedonian
4/5/2019,12,2,0,16,4,1,11,3,0,4,Macedonian
5/5/2019,11,2,0,8,5,3,12,3,0,10,Macedonian
6/5/2019,23,0,1,4,3,6,2,1,0,6,Macedonian
7/5/2019,31,0,2,8,7,16,9,0,0,13,Macedonian
8/5/2019,22,0,0,7,5,9,13,3,0,8,Macedonian
9/5/2019,31,0,6,8,6,6,10,4,0,6,Macedonian
10/5/2019,5,0,1,4,2,10,0,0,0,13,Macedonian
11/5/2019,8,1,4,6,8,4,5,0,0,4,Macedonian
12/5/2019,16,0,6,13,4,9,7,6,0,17,Macedonian
13/05/2019,40,0,3,10,7,25,9,2,0,11,Macedonian
14/05/2019,31,0,3,6,13,13,5,5,0,7,Macedonian
15/05/2019,15,0,3,7,9,20,7,0,0,16,Macedonian
16/05/2019,12,0,0,5,7,14,5,3,0,9,Macedonian
17/05/2019,4,0,1,9,1,8,3,3,0,2,Macedonian
18/05/2019,6,0,0,11,4,4,3,2,0,2,Macedonian
19/05/2019,7,1,0,2,1,2,4,0,0,9,Macedonian
20/05/2019,6,0,2,1,4,6,3,3,0,13,Macedonian
21/05/2019,15,0,1,6,3,8,6,1,0,16,Macedonian
22/05/2019,12,0,0,3,3,7,9,4,0,37,Macedonian
23/05/2019,16,0,1,10,5,2,5,2,0,4,Macedonian
24/05/2019,4,1,0,5,0,8,12,4,0,0,Macedonian
25/05/2019,6,0,0,7,5,1,7,2,0,6,Macedonian
26/05/2019,8,0,0,7,6,3,5,2,0,2,Macedonian
27/05/2019,26,1,4,5,3,3,7,6,0,7,Macedonian
28/05/2019,8,0,2,5,5,2,4,1,0,7,Macedonian
29/05/2019,11,0,0,6,6,9,8,1,0,5,Macedonian
30/05/2019,11,0,2,1,3,2,29,4,0,8,Macedonian
31/05/2019,27,1,0,9,5,4,2,0,0,8,Macedonian
1/6/2019,2,0,0,5,4,6,8,1,0,0,Macedonian
2/6/2019,4,1,0,4,2,6,6,0,0,4,Macedonian
3/6/2019,9,0,0,11,2,1,2,4,0,3,Macedonian
4/6/2019,8,0,0,18,6,7,2,1,0,7,Macedonian
5/6/2019,7,1,2,7,3,7,5,2,0,6,Macedonian
6/6/2019,3,0,2,12,3,2,3,3,0,6,Macedonian
7/6/2019,6,0,0,5,3,9,4,1,0,4,Macedonian
8/6/2019,2,0,0,6,1,8,4,4,0,3,Macedonian
9/6/2019,5,0,4,10,2,6,8,2,0,3,Macedonian
10/6/2019,1,0,2,8,3,2,3,1,0,3,Macedonian
11/6/2019,4,0,2,10,4,2,2,1,0,2,Macedonian
12/6/2019,4,0,2,8,3,1,4,2,0,6,Macedonian
13/06/2019,4,0,0,5,1,4,2,2,0,1,Macedonian
14/06/2019,2,0,0,4,0,0,4,1,0,2,Macedonian
15/06/2019,4,0,0,9,2,1,1,0,0,1,Macedonian
16/06/2019,6,0,1,11,3,0,3,4,0,0,Macedonian
17/06/2019,2,0,1,12,1,1,4,2,0,2,Macedonian
18/06/2019,4,0,1,5,5,0,4,3,0,1,Macedonian
19/06/2019,5,0,0,4,2,1,3,3,0,9,Macedonian
20/06/2019,8,0,0,10,4,4,1,2,0,4,Macedonian
21/06/2019,1,0,1,17,4,1,4,3,0,1,Macedonian
22/06/2019,1,1,0,11,6,0,2,0,0,3,Macedonian
23/06/2019,2,0,0,10,2,2,1,0,0,0,Macedonian
24/06/2019,4,0,1,12,4,2,6,0,0,3,Macedonian
25/06/2019,2,0,5,9,4,2,8,0,0,2,Macedonian
26/06/2019,2,0,0,5,1,3,3,2,0,3,Macedonian
27/06/2019,0,0,0,13,7,2,1,2,0,3,Macedonian
28/06/2019,3,1,0,11,2,4,2,3,0,2,Macedonian
29/06/2019,2,0,2,10,1,0,3,0,0,2,Macedonian
30/06/2019,4,0,2,5,5,2,4,0,0,0,Macedonian
1/7/2019,7,0,0,9,4,3,4,0,0,6,Macedonian
2/7/2019,8,0,0,15,2,2,4,1,0,2,Macedonian
3/7/2019,5,0,0,7,2,3,1,1,0,3,Macedonian
4/7/2019,2,1,0,12,1,2,0,2,0,1,Macedonian
5/7/2019,4,1,1,12,5,1,2,0,0,3,Macedonian
6/7/2019,3,2,0,4,2,0,0,2,0,0,Macedonian
7/7/2019,5,0,2,9,3,0,4,1,0,1,Macedonian
8/7/2019,3,1,1,10,0,1,2,0,0,0,Macedonian
9/7/2019,10,0,1,11,6,2,2,0,0,4,Macedonian
