Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
9/4/2019,5,12,1,25,29,23,21,22,0,24,Serbian
10/4/2019,5,20,0,20,30,25,16,19,5,22,Serbian
11/4/2019,3,14,2,18,27,20,28,19,7,25,Serbian
12/4/2019,7,17,2,41,27,13,19,19,2,31,Serbian
13/04/2019,7,9,3,42,28,26,21,7,2,12,Serbian
14/04/2019,8,14,3,47,14,16,25,19,3,29,Serbian
15/04/2019,2,9,2,28,23,20,11,27,3,21,Serbian
16/04/2019,3,21,5,14,20,19,21,20,1,30,Serbian
17/04/2019,6,52,2,22,22,35,23,12,5,40,Serbian
18/04/2019,6,21,1,18,17,20,11,18,3,34,Serbian
19/04/2019,8,22,4,18,21,20,19,15,2,18,Serbian
20/04/2019,4,18,3,32,20,16,22,8,5,24,Serbian
21/04/2019,3,28,3,40,21,14,26,12,4,10,Serbian
22/04/2019,5,36,4,19,30,24,14,12,5,16,Serbian
23/04/2019,3,25,0,38,24,32,31,7,4,22,Serbian
24/04/2019,1,22,1,17,21,38,22,15,10,19,Serbian
25/04/2019,2,19,0,12,13,23,12,8,2,22,Serbian
26/04/2019,2,18,3,42,25,18,19,13,0,17,Serbian
27/04/2019,2,4,1,54,19,40,14,10,6,15,Serbian
28/04/2019,1,18,5,103,18,17,16,10,1,37,Serbian
29/04/2019,1,11,3,92,21,23,21,18,5,19,Serbian
30/04/2019,3,14,1,75,21,23,11,9,3,29,Serbian
1/5/2019,3,6,0,132,15,30,19,2,6,26,Serbian
2/5/2019,8,18,1,55,21,18,19,12,3,16,Serbian
3/5/2019,4,14,1,34,31,20,15,9,5,16,Serbian
4/5/2019,4,11,4,46,14,7,25,13,5,19,Serbian
5/5/2019,6,20,6,51,18,23,28,27,10,20,Serbian
6/5/2019,3,15,2,20,27,15,28,14,6,23,Serbian
7/5/2019,2,11,3,27,15,24,34,11,1,31,Serbian
8/5/2019,7,19,0,27,27,12,36,21,5,16,Serbian
9/5/2019,5,29,2,24,30,21,22,11,2,21,Serbian
10/5/2019,4,10,5,23,22,22,22,15,5,17,Serbian
11/5/2019,3,4,2,36,18,19,29,10,4,16,Serbian
12/5/2019,5,6,1,59,16,28,32,12,6,21,Serbian
13/05/2019,1,19,0,31,22,25,32,21,6,24,Serbian
14/05/2019,7,16,0,21,28,29,25,18,7,27,Serbian
15/05/2019,5,14,3,18,30,31,20,12,2,34,Serbian
16/05/2019,2,24,7,19,32,32,23,14,5,42,Serbian
17/05/2019,6,24,1,14,23,18,14,8,1,33,Serbian
18/05/2019,3,15,3,21,10,15,16,9,4,11,Serbian
19/05/2019,6,15,10,21,15,23,10,14,2,21,Serbian
20/05/2019,8,35,1,18,27,21,21,25,2,17,Serbian
21/05/2019,7,24,4,23,23,33,14,16,3,49,Serbian
22/05/2019,5,14,1,32,18,18,19,19,3,46,Serbian
23/05/2019,9,21,1,11,32,29,24,14,1,21,Serbian
24/05/2019,2,13,1,19,24,22,17,13,1,21,Serbian
25/05/2019,1,17,2,27,20,8,27,18,6,32,Serbian
26/05/2019,5,21,0,29,24,20,27,13,6,37,Serbian
27/05/2019,4,20,2,27,15,18,32,15,5,16,Serbian
28/05/2019,3,18,1,20,32,16,24,15,7,27,Serbian
29/05/2019,4,17,2,22,20,19,30,24,2,39,Serbian
30/05/2019,1,16,1,18,16,28,25,23,6,23,Serbian
31/05/2019,4,9,10,23,32,15,17,16,6,37,Serbian
1/6/2019,1,8,1,25,19,12,20,12,1,28,Serbian
2/6/2019,10,24,1,44,23,23,33,16,1,30,Serbian
3/6/2019,4,14,4,30,20,14,23,14,0,31,Serbian
4/6/2019,4,20,0,26,21,17,23,11,3,27,Serbian
5/6/2019,4,15,1,20,18,27,17,18,7,28,Serbian
6/6/2019,4,7,5,22,13,15,16,14,4,29,Serbian
7/6/2019,2,12,0,15,6,17,26,10,3,33,Serbian
8/6/2019,15,10,1,24,13,17,18,13,3,15,Serbian
9/6/2019,6,9,4,17,22,18,21,19,3,26,Serbian
10/6/2019,4,7,2,24,24,25,21,7,8,22,Serbian
11/6/2019,2,15,1,13,24,21,11,8,5,26,Serbian
12/6/2019,4,15,0,5,10,23,14,14,2,29,Serbian
13/06/2019,2,12,1,13,5,17,18,11,12,26,Serbian
14/06/2019,1,9,5,15,19,17,9,5,6,20,Serbian
15/06/2019,0,8,3,25,11,9,7,12,3,20,Serbian
16/06/2019,2,16,1,31,17,13,14,7,3,18,Serbian
17/06/2019,3,15,1,37,16,19,13,16,1,27,Serbian
18/06/2019,4,8,1,37,22,11,25,9,7,21,Serbian
