Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
4/9/2019,6,1,6,2,80,3,1,1,0,4,Tamil
4/10/2019,12,1,8,2,100,2,0,0,0,6,Tamil
4/11/2019,12,0,3,3,116,5,5,0,0,5,Tamil
4/12/2019,9,0,4,5,85,0,4,4,0,5,Tamil
4/13/2019,5,2,9,1,56,2,2,3,0,2,Tamil
4/14/2019,9,0,4,1,61,1,3,3,0,3,Tamil
4/15/2019,3,0,3,0,71,5,0,3,1,6,Tamil
4/16/2019,7,0,4,0,49,1,0,1,0,0,Tamil
4/17/2019,9,0,2,1,40,4,0,0,0,3,Tamil
4/18/2019,10,0,15,3,44,0,0,1,1,6,Tamil
4/19/2019,3,2,5,1,57,4,1,5,0,6,Tamil
4/20/2019,5,1,22,1,41,3,3,0,0,5,Tamil
4/21/2019,7,1,4,4,58,2,2,1,1,3,Tamil
4/22/2019,13,0,3,1,60,3,4,0,2,2,Tamil
4/23/2019,17,1,7,1,68,4,1,0,1,3,Tamil
4/24/2019,10,0,3,1,55,4,2,2,2,2,Tamil
4/25/2019,5,1,6,1,125,4,1,1,1,3,Tamil
4/26/2019,16,2,0,2,155,2,4,3,0,6,Tamil
4/27/2019,8,1,3,1,113,4,1,0,2,5,Tamil
4/28/2019,7,0,3,2,139,2,1,6,1,8,Tamil
4/29/2019,6,0,5,1,184,4,4,3,0,12,Tamil
4/30/2019,6,0,3,4,116,4,5,0,1,6,Tamil
5/1/2019,4,1,4,0,52,6,2,0,3,8,Tamil
5/2/2019,10,0,3,1,71,0,1,1,0,6,Tamil
5/3/2019,10,0,4,3,84,2,2,1,1,8,Tamil
5/4/2019,11,0,5,1,53,1,5,2,3,4,Tamil
5/5/2019,10,0,3,1,77,1,3,1,5,1,Tamil
5/6/2019,6,0,1,1,119,1,0,1,0,6,Tamil
5/7/2019,9,0,6,2,47,3,1,4,1,3,Tamil
5/8/2019,7,0,6,2,64,4,2,3,3,2,Tamil
5/9/2019,11,0,0,1,34,0,1,0,0,2,Tamil
5/10/2019,3,0,7,0,50,1,0,0,0,2,Tamil
5/11/2019,1,0,3,0,82,0,1,3,4,11,Tamil
5/12/2019,8,0,5,14,55,1,3,1,3,9,Tamil
5/13/2019,9,0,1,1,56,2,2,2,1,5,Tamil
5/14/2019,7,0,4,3,86,4,5,3,1,2,Tamil
5/15/2019,6,0,7,0,44,4,2,3,0,6,Tamil
5/16/2019,10,2,3,1,53,1,6,2,0,2,Tamil
5/17/2019,4,0,4,2,93,3,1,0,0,6,Tamil
5/18/2019,3,0,2,1,45,0,1,4,0,3,Tamil
5/19/2019,3,0,1,0,51,1,0,2,0,3,Tamil
5/20/2019,4,0,2,0,50,3,3,0,3,2,Tamil
5/21/2019,6,0,1,0,52,1,6,0,1,9,Tamil
5/22/2019,10,0,2,0,69,2,0,2,0,6,Tamil
5/23/2019,11,0,3,2,52,1,4,0,0,2,Tamil
5/24/2019,9,0,2,1,63,5,1,2,3,5,Tamil
5/25/2019,4,0,1,0,55,4,2,1,1,11,Tamil
5/26/2019,7,0,2,1,60,0,0,0,0,3,Tamil
5/27/2019,11,0,2,3,70,3,6,2,0,2,Tamil
5/28/2019,4,0,2,3,56,1,4,3,5,2,Tamil
5/29/2019,8,0,2,1,68,1,5,2,0,2,Tamil
5/30/2019,8,1,5,4,54,4,2,2,1,5,Tamil
5/31/2019,10,0,0,7,31,1,3,3,0,9,Tamil
6/1/2019,5,0,5,6,37,4,3,2,1,5,Tamil
6/2/2019,6,0,0,5,63,5,1,1,0,1,Tamil
6/3/2019,10,0,7,4,38,4,2,3,1,4,Tamil
6/4/2019,8,0,3,3,49,3,2,4,1,3,Tamil
6/5/2019,12,0,4,4,75,4,6,4,0,2,Tamil
6/6/2019,16,0,3,5,143,1,4,3,3,5,Tamil
6/7/2019,16,0,3,1,85,6,4,0,0,3,Tamil
6/8/2019,7,0,2,0,63,2,2,0,0,0,Tamil
6/9/2019,13,1,2,2,69,3,2,2,0,1,Tamil
6/10/2019,12,0,2,2,85,3,7,3,1,1,Tamil
6/11/2019,12,0,2,4,125,2,4,1,1,6,Tamil
6/12/2019,11,1,4,0,106,2,2,1,0,6,Tamil
6/13/2019,14,0,1,1,132,4,3,4,1,1,Tamil
6/14/2019,5,0,2,1,147,1,2,3,1,4,Tamil
6/15/2019,20,0,2,1,132,9,10,1,1,5,Tamil
6/16/2019,10,2,3,3,163,4,2,3,3,2,Tamil
6/17/2019,24,0,5,13,355,1,4,2,1,3,Tamil
6/18/2019,10,0,4,4,575,2,1,3,3,3,Tamil
6/19/2019,17,0,3,2,1042,8,0,0,2,0,Tamil
6/20/2019,11,0,6,2,8350,3,1,3,0,3,Tamil
6/21/2019,10,0,6,1,4471,4,0,1,3,2,Tamil
6/22/2019,20,4,2,0,689,2,2,1,3,1,Tamil
6/23/2019,242,0,9,4,863,3,1,0,2,3,Tamil
6/24/2019,90,0,3,0,340,4,1,2,0,3,Tamil
6/25/2019,43,0,6,2,291,8,2,0,1,6,Tamil
6/26/2019,18,0,9,1,236,5,4,2,2,3,Tamil
6/27/2019,11,0,4,2,129,3,4,1,1,4,Tamil
6/28/2019,18,0,3,0,146,2,0,4,3,5,Tamil
6/29/2019,23,0,5,1,146,3,3,3,1,1,Tamil
6/30/2019,32,0,4,1,129,3,3,1,1,1,Tamil
7/1/2019,10,0,3,0,197,0,6,3,1,3,Tamil
7/2/2019,28,2,1,1,151,2,4,4,4,4,Tamil
7/3/2019,19,0,4,0,97,4,7,0,0,5,Tamil
7/4/2019,16,0,3,6,108,0,2,1,1,7,Tamil
7/5/2019,16,0,4,3,104,4,2,2,0,8,Tamil
7/6/2019,13,0,6,1,119,7,2,3,0,3,Tamil
7/7/2019,24,3,8,0,122,3,3,1,0,2,Tamil
7/8/2019,21,0,2,1,78,5,7,0,0,6,Tamil
